"","year","unique_id","ccode","state_name","event_num_all","event_num","start","stop","alt_start","alt_stop","num_before_46","left_censored","new_tc","new_tc_dummy","num_tc","area","area_1000","area_1000_log","country_age","durable","elf","exist_tc","first_tc","first_tc_alt","first_tc_count","lmtnest","sf","sf_onset","state_fail","tc_persists_alt","tc_tally","Devel","birth_type","rivals_thom","rivals_gd","hs_capacity","kills_mean","kills_median","ciri_disap","ciri_kill","ciri_polpris","ciri_tort","pts_amnesty","pts_state","pts_hrw","hath_tort","ucdp_low","ucdp_best","ucdp_high","polity","polity2","polity_democ","polity_autoc","v2x_polyarchy","v2x_libdem","v2x_partipdem","v2x_egaldem","acd_inter_ongoing","acd_inter_onset","acd_intra_ongoing","acd_intra_onset","acd_any_ongoing","acd_any_onset","wbgdp2011est","wbgdppc2011est","wbpopest","sdpest","hrp_mean","hrp_sd","lag_hrp","hrp1","hrp2","hrp3","hrp4","hrp5","lag_num_tc","lag_hrp1","lag_hrp2","lag_hrp3","lag_hrp4","lag_hrp5"
"31",1947,663.1947,663,"Jordan",1,1,1,2,1,2,0,0,0,0,0,89491,89.49099731,4.494138032,2,1,0.509000003,0,0,0,2,2.721295357,0,0,0,0,0,0,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,0,9,0.109,0.147,0.039,0.147,0,0,0,0,0,0,21.319,7.806,13.514,20.728,-0.07564881,0.492541338,-0.064249604,-0.087699951,-0.32268311,0.782115784,-0.381368491,-1.239632287,0,1.025676934,0.580268952,0.300165744,-0.193562915,-0.014034933
"32",1947,660.1947,660,"Lebanon",1,1,1,2,1,2,0,1,0,0,0,10240,10.23999977,2.326301597,5,4,0.779999971,0,0,0,5,4.062165737,0,0,0,0,0,0.002544047,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,0.34,0.209,0.087,0.226,0,0,0,0,0,0,22.349,8.381,13.968,22.06,-0.198378117,0.493294713,-0.175475028,-0.496472417,-0.534282374,0.042433365,-0.999374121,0.521841822,0,-0.330473809,-0.181862239,-0.502376739,-0.103062901,0.007445637
"33",1947,93.1947,93,"Nicaragua",4,1,1,2,1,2,3,1,0,0,0,128883,128.8829956,4.858904982,107,11,0.40200001,0,NA,1,NA,2.332144022,0,0,0,0,3,0,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,-8,0,8,0.131,0.034,0.026,0.023,0,0,0,0,0,0,21.731,7.964,13.767,21.251,0.151258788,0.562812604,0.151970532,0.274680125,0.685370388,0.445604439,-0.059250403,0.243637296,0,-0.322748468,0.607668193,1.232895956,0.45071104,0.608928494
"34",1947,770.1947,770,"Pakistan",1,1,0,1,0,1,0,0,1,1,1,936135,936.1350098,6.841759707,1,0,0.532000005,0,1,1,1,3.784189701,0,0,0,0,1,5.29e-05,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177,0.161,0.062,0.092,0,0,0,0,0,0,24.466,6.593,17.874,0,-0.178335567,0.49260798,NA,-0.257858041,0.125685646,-0.713167033,-0.880806686,-0.406382744,1,NA,NA,NA,NA,NA
"35",1947,150.1947,150,"Paraguay",1,1,1,2,1,2,0,1,1,1,1,400653,400.6530151,5.993095754,132,0,0.131999999,0,1,1,132,0.741937339,0,0,0,0,1,0.000890995,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-5,1,6,0.139,0.036,0.061,0.036,0,0,1,1,1,1,22.03,7.979,14.051,21.559,-0.0265641,0.512312984,-0.008220198,-0.765959564,0.171782154,-0.451319195,0.339441416,-0.478578674,1,0.706460454,0.213007606,0.90154959,-0.439234031,-0.084856818
"36",1947,840.1947,840,"Philippines",2,2,0,1,1,2,0,0,0,0,1,294202,294.2019958,5.684266592,2,3,0.160999998,1,NA,1,NA,3.104586601,0,0,0,1,1,0.002675436,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,2,0.358,0.262,0.248,0.14,0,0,1,0,1,0,24.124,7.395,16.73,23.005,-1.604167801,0.255670976,-1.578208959,-1.644906635,-1.560439156,-1.03033887,-1.906742174,-1.884404186,1,-1.653870878,-1.762882799,-1.244034039,-2.202766947,-1.938771914
"37",1947,670.1947,670,"SaudiArabia",1,1,1,2,1,2,0,1,0,0,0,1963227,1963.227051,7.582344853,16,21,0.552999973,0,0,0,16,2.525728703,0,0,0,0,0,3.115764856,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-10,0,10,0.009,0.035,0.008,0.03,0,0,0,0,0,0,23.245,8.214,15.031,22.893,0.689280835,0.613687011,0.640130191,0.576556274,-0.082003116,0.619007219,0.248040455,1.409680566,0,0.180182069,-0.165253802,1.31779389,0.212710395,-0.693221768
"38",1947,560.1947,560,"SouthAfrica",1,1,1,2,1,2,0,1,0,0,0,2053301,2053.301025,7.627204033,38,37,0.879999995,0,0,0,38,2.163322926,0,0,0,0,0,1.075098991,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,7,3,0.234,0.121,0.143,0.046,0,0,0,0,0,0,24.694,8.429,16.266,24.42,-0.111528608,0.492918136,-0.104047704,-0.541480132,0.134119643,-0.322833455,0.299715114,-0.336629469,0,-0.306958035,-1.054958237,-0.276475121,1.08635143,0.946254713
"39",1947,652.1947,652,"Syria",1,1,1,2,1,2,0,0,0,0,0,188436,188.4360046,5.238758451,2,3,0.58099997,0,0,0,2,1.85629797,0,0,0,0,0,0.000627059,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,0,0.204,0.136,0.093,0.141,0,0,0,0,0,0,23.355,8.442,14.913,23.086,-0.20880395,0.479735885,-0.181362567,0.129897554,-0.780090244,0.351353381,-0.10398239,0.261495537,0,-0.442609293,0.146498767,-0.074015894,-0.844187813,0.338806068
"40",1947,640.1947,640,"Turkey",1,1,1,2,1,2,0,1,0,0,0,781079,781.0789795,6.660676271,26,1,0.298999995,0,0,0,26,4.280824184,0,0,0,0,0,0.117832206,6,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,0,0.228,0.149,0.104,0.172,0,0,0,0,0,0,24.717,7.962,16.755,24.236,-0.112983016,0.496417481,-0.091095692,0.553063394,0.843521447,-0.47958987,-1.088616052,0.393520071,0,-0.079302132,-0.241371248,0.092306677,0.980587077,-0.879873597
